Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
35,46216,A - Group 1,ZA,Claude MOSHIYWA,05:55:16,05:55:11,50-59,3,Male,34,NEDBANK RUNNING CLUB GN,South Africa
36,13336,B - Group 1,ZA,Siya MQAMBELI,05:55:44,05:55:38,40-49,8,Male,35,NEDBANK RUNNING CLUB GN,South Africa
37,20886,A - Group 1,XX,Alexandra MOROZOVA,05:55:56,05:55:53,Senior,2,Female,2,NEDBANK RUNNING CLUB INTERNATIONAL,ANA
38,28360,A - Group 1,ZA,Mthandazo QHINA,05:56:46,05:56:39,40-49,9,Male,36,IMPALA MARATHON CLUB NWN,South Africa
39,23496,B - Group 1,ZA,Dumisani GUMEDE,05:56:50,05:56:35,Senior,25,Male,37,NRB HARRIERS,South Africa
40,33399,A - Group 1,HU,Tamás BÓDIS,05:57:44,05:57:40,Senior,26,Male,38,MTK,Hungary
41,19952,A - Group 1,ZA,Johannes MAKGETLA,05:58:55,05:58:51,40-49,10,Male,39,NEDBANK RUNNING CLUB GN,South Africa
42,42175,A - Group 1,ZA,Mholi JALI,05:59:41,05:59:37,Senior,27,Male,40,HOLLYWOOD AC KZNA,South Africa
43,25995,A - Group 1,ZA,Sphesihle NENE,05:59:55,05:59:48,Senior,28,Male,41,MAXED ELITE KZN,South Africa
44,28337,A - Group 1,ZA,Linda ZONDI,06:00:19,06:00:16,Senior,29,Male,42,ENTSIKA AC,South Africa
45,29076,A - Group 1,JP,Nao KAZAMI,06:01:26,06:01:24,40-49,11,Male,43,AISANKOGYO,Japan
46,43672,A - Group 1,ZA,Dion ROSS,06:02:18,06:02:13,Senior,30,Male,44,XCEL RUNNING CLUB,South Africa
47,43759,A - Group 1,ZA,Mpho NAILANA,06:04:00,06:03:57,40-49,12,Male,45,PAN AFRICAN RESOURCES CLUB,South Africa
48,17626,B - Group 1,ZA,Musawenkosi SIBIYA,06:04:01,06:03:48,40-49,13,Male,46,ALPHA CENTURION RUNNERS & WALKERS,South Africa
49,30810,A - Group 1,ZA,Lindelani XIMBA,06:04:52,06:04:48,Senior,31,Male,47,ARTHUR FORD AC,South Africa
50,31422,A - Group 1,ZW,Lyno MUCHENA,06:05:33,06:05:28,Senior,32,Male,48,NEDBANK RUNNING CLUB ZIMBABWE,Zimbabwe
51,22714,B - Group 1,ZA,Thando NGCOBO,06:05:49,06:05:44,40-49,14,Male,49,ENTSIKA AC,South Africa
52,21998,A - Group 1,ZA,Pule Simuel SIBEKO,06:07:14,06:07:08,Senior,33,Male,50,MAXED ELITE KZN,South Africa
53,33577,A - Group 1,ZA,Siphelele ZONDI,06:07:25,06:07:20,40-49,15,Male,51,ARTHUR FORD AC,South Africa
54,23635,B - Group 1,ZA,Sibusiso Prince MCHUNU,06:07:47,06:07:38,40-49,16,Male,52,WATERFALL AC,South Africa
55,17287,A - Group 1,KE,Shelmisth MURIUKI,06:07:56,06:07:51,40-49,1,Female,3,ENTSIKA INTERNATIONAL,Kenya
56,54135,A - Group 1,ZW,Mike FOKORONI,06:08:22,06:08:19,40-49,17,Male,53,NEDBANK RUNNING CLUB ZIMBABWE,Zimbabwe
57,29774,A - Group 1,ZA,Lutendo MAPOTO,06:08:54,06:08:49,Senior,34,Male,54,PMC ATHLETIC CLUB,South Africa
58,29849,A - Group 1,ZA,Mpho MOKOENA,06:08:57,06:08:54,40-49,18,Male,55,PAN AFRICAN RESOURCES CLUB,South Africa
59,44569,B - Group 1,ZA,Mzwandile LATHA,06:10:21,06:10:12,Senior,35,Male,56,ZAKHELE RUNNING CLUB,South Africa
60,23260,A - Group 1,ZA,Sam MATSEPE,06:11:12,06:11:08,Senior,36,Male,57,IMPALA MARATHON CLUB NWN,South Africa
61,14159,B - Group 1,ZA,Ryan EICHSTADT,06:11:15,06:11:02,Senior,37,Male,58,FAKU CHIEFS AC,South Africa
62,51649,A - Group 1,ZA,Ross BARNARD,06:11:16,06:11:12,Senior,38,Male,59,HOLLYWOOD AC EPA,South Africa
63,48611,A - Group 1,XX,Aleksei GRIGOREV,06:11:23,06:11:16,40-49,19,Male,60,MAXED ELITE INTERNATIONAL,ANA
64,56614,A - Group 1,ZA,Irvette VAN ZYL,06:11:35,06:11:32,Senior,3,Female,4,HOLLYWOOD AC CGA,South Africa
65,58999,B - Group 1,ZA,Mosimanegape Ishmael BONNETSOE,06:11:35,06:11:31,40-49,20,Male,61,SIYANDA BAKGATLA RUNNING CLUB,South Africa
66,21237,A - Group 1,PL,Dominika STELMACH,06:12:02,06:11:59,40-49,2,Female,5,NEDBANK INTERNATIONAL,Poland
67,57450,B - Group 1,ZA,Tefo MONTOEDI,06:12:04,06:11:49,Senior,39,Male,62,IMPALA MARATHON CLUB NWN,South Africa
68,56684,A - Group 1,ZA,Aubrey NZUZA,06:12:12,06:12:07,Senior,40,Male,63,ARTHUR FORD AC,South Africa
69,58176,A - Group 1,ZA,Jeffrey MOABAKWE,06:12:36,06:12:31,40-49,21,Male,64,MAXED ELITE CG,South Africa
70,15954,A - Group 1,ZW,Philani NKOMO,06:12:57,06:12:51,40-49,22,Male,65,ENTSIKA AC,Zimbabwe
71,21250,A - Group 1,GB,Carla MOLINARO,06:13:03,06:12:59,40-49,3,Female,6,HOLLYWOOD AC KZNA,United Kingdom
72,25035,A - Group 1,AU,Wayne SPIES,06:13:26,06:13:23,50-59,4,Male,66,NEDBANK INTERNATIONAL,Australia
73,55545,B - Group 1,ZA,Nkosiyethu MHLONGO,06:13:42,06:13:34,40-49,23,Male,67,BLACK DIAMOND ATHLETIC CLUB,South Africa
74,32486,A - Group 1,ZA,Riaan VAN ZYL,06:13:57,06:13:52,Senior,41,Male,68,NEDBANK RUNNING CLUB GN,South Africa
75,53444,B - Group 1,ZA,Mlungisi NTENGA,06:14:22,06:14:11,40-49,24,Male,69,STELLA AC,South Africa
76,55368,A - Group 1,ZA,Jenet MBHELE,06:14:24,06:14:21,Senior,4,Female,7,UMZIMKHULU STRIDERS,South Africa
77,7068,A - Group 1,ZA,Ntakuseni MUDAU,06:14:53,06:14:51,Senior,42,Male,70,IKHAYALETHU AC,South Africa
78,42610,B - Group 1,XX,Grigory SABIROV,06:15:27,06:15:15,40-49,25,Male,71,#LONGRUNMESCHERSKIY,ANA
79,46400,A - Group 1,MW,Steven GEORGE,06:15:46,06:15:41,Senior,43,Male,72,STRAND AC,Malawi
80,53711,A - Group 1,ZA,Thulane MAGAGULA,06:16:09,06:16:05,40-49,26,Male,73,MAXED ELITE CG,South Africa
81,21233,A - Group 1,IE,Caitriona JENNINGS,06:16:42,06:16:41,40-49,4,Female,8,NEDBANK INTERNATIONAL,Ireland
82,40469,B - Group 1,ZA,Siyamthanda BAZANA,06:17:46,06:17:26,Senior,44,Male,74,LUSIKISKI HARRIERS,South Africa
83,51529,A - Group 1,US,Courtney OLSEN,06:17:48,06:17:44,Senior,5,Female,9,HOLLYWOOD INTERNATIONAL,United States of America (the)
84,39238,A - Group 1,ZA,Omo HLUGWANE,06:17:49,06:17:45,40-49,27,Male,75,WATERFALL AC,South Africa
85,57082,A - Group 1,LS,Jane Tsholwane MHLAKWANA,06:18:09,06:18:05,40-49,28,Male,76,XCEL RUNNING CLUB,Lesotho
86,30157,A - Group 1,ZA,Chris BILEY,06:18:39,06:18:26,Senior,45,Male,77,FAKU CHIEFS AC,South Africa
87,53558,B - Group 1,GB,Alistair SMITH,06:19:12,06:18:55,40-49,29,Male,78,SAVAGES,United Kingdom
88,51056,B - Group 1,ZA,Zolani DLAMINI,06:19:26,06:19:06,Senior,46,Male,79,ZAKHELE RUNNING CLUB,South Africa
89,45962,B - Group 1,ZA,Tholinhlanhla SHABALALA,06:19:58,06:19:53,Senior,47,Male,80,KNYSNA MARATHON CLUB,South Africa
90,48093,A - Group 1,GB,Melissah GIBSON,06:19:59,06:19:55,40-49,5,Female,10,NEDBANK INTERNATIONAL,United Kingdom
91,55382,B - Group 1,ZA,Kgosi Sameul TSOSANE,06:20:14,06:19:58,Senior,48,Male,81,IMPALA MARATHON CLUB NWN,South Africa
92,46769,A - Group 1,CH,Ramon HINDER,06:21:06,06:20:59,Senior,49,Male,82,,Switzerland
93,55816,A - Group 1,ZA,Sello LEKALAKALA,06:21:35,06:21:29,Senior,50,Male,83,MOLOTO AC,South Africa
94,39779,A - Group 1,ZA,Peter MUTHUBI,06:22:26,06:22:23,40-49,30,Male,84,IMPALA MARATHON CLUB NWN,South Africa
95,44658,B - Group 1,ZA,Peter MOLOTO,06:22:30,06:22:15,Senior,51,Male,85,HOLLYWOOD AC AGN,South Africa
96,26581,B - Group 1,ZA,Sibongile Luca BOYANA,06:22:47,06:22:25,40-49,31,Male,86,WEST COAST AC,South Africa
97,36547,B - Group 1,ZA,Ananius Seilago MASILA,06:23:20,06:23:16,Senior,52,Male,87,UNIVERSITY OF LIMPOPO AC,South Africa
98,41979,B - Group 1,ZA,Muziwoxolo Bulelani Lucas SHEZI,06:23:36,06:23:22,Senior,53,Male,88,HOLLYWOOD AC KZNA,South Africa
99,6982,A - Group 1,FI,Noora HONKALA,06:23:40,06:23:35,Senior,6,Female,11,PHANTANE ATHLETICS CLUB,Finland
100,46465,A - Group 1,ZA,Sihle Pascah KHUMALO,06:24:34,06:24:29,Senior,54,Male,89,NRB HARRIERS,South Africa
101,37294,A - Group 1,ZA,Lulamile DANILE,06:24:53,06:24:48,Senior,55,Male,90,NEDBANK RUNNING CLUB BOR,South Africa
102,54828,B - Group 1,ZW,Liberty MALABWA,06:25:14,06:25:06,Senior,56,Male,91,SAVAGES AC,Zimbabwe
103,29775,B - Group 1,ZA,Nathi KWEYAMA,06:25:15,06:25:10,40-49,32,Male,92,NEDBANK CLUB KWA-ZULU NATAL,South Africa
104,53424,B - Group 1,ZA,Pelly LAMOLA,06:25:23,06:25:17,Senior,57,Male,93,POLOKWANE AC,South Africa
105,42055,A - Group 1,ZA,Sifiso NQUMAKHWE,06:25:31,06:25:26,Senior,58,Male,94,NEDBANK RUNNING CLUB CG,South Africa
106,7656,B - Group 1,ZA,Thabo MATSEPE,06:26:00,06:25:46,40-49,33,Male,95,WATERFALL AC,South Africa
107,49713,B - Group 1,ZA,Alasdair LESLIE,06:26:09,06:25:56,50-59,5,Male,96,STELLA AC,South Africa
108,30315,B - Group 1,ZA,Mziwonke NGWENDU,06:26:12,06:26:08,Senior,59,Male,97,UNIVERSAL SAFETY PRODUCT AC,South Africa
109,44650,B - Group 1,ZA,Calvin MOZIMBA,06:26:22,06:26:13,40-49,34,Male,98,MADIBENG MUNICIPAL RUNNING CLUB,South Africa
110,19821,A - Group 1,ZA,Kwakhiwakwawo NGUBANE,06:26:32,06:26:26,40-49,35,Male,99,X-CEL AC EP,South Africa
111,43433,B - Group 1,ZA,Mhlengi Sydwell KHOWANE,06:26:43,06:26:32,Senior,60,Male,100,DOLPHIN COAST STRIDERS,South Africa
112,53469,A - Group 1,XX,Юлия РЫЖАНКОВА,06:26:51,06:26:46,Senior,7,Female,12,MAXED ELITE INTERNATIONAL,ANA
113,33082,B - Group 1,ZA,Phinias MASEKO,06:27:07,06:27:02,Senior,61,Male,101,WATERFALL AC,South Africa
114,30754,B - Group 1,ZA,Vilakasi SAMSON,06:27:09,06:26:56,Senior,62,Male,102,MIDDELBURG MARATHON CLUB,South Africa
115,24678,B - Group 1,ZA,Wandisile NONGODLWANA,06:27:14,06:26:49,40-49,36,Male,103,AECI MINING AC,South Africa
116,49787,B - Group 1,ZA,Mbusiseni YAKA,06:28:24,06:28:16,40-49,37,Male,104,CORRECTIONAL SERVICES CG,South Africa
117,50921,A - Group 1,ZA,Simphiwe MFOWENTSIZWA,06:28:26,06:28:22,Senior,63,Male,105,NEDBANK RUNNING CLUB KZN,South Africa
118,44913,B - Group 1,ZA,Phaladi PHOLOSHO,06:28:29,06:28:25,Senior,64,Male,106,UNIVERSITY OF LIMPOPO AC,South Africa
119,30581,B - Group 1,ZA,Itumeleng MOITSE,06:28:32,06:28:19,Senior,65,Male,107,IMPALA MARATHON CLUB NWN,South Africa
120,51899,B - Group 1,ZA,Siyabonga MKIVA,06:28:45,06:28:35,Senior,66,Male,108,HOLLYWOOD AC KZNA,South Africa
121,36533,B - Group 1,ZA,Vakele Oscar JAMILE,06:29:08,06:28:42,Senior,67,Male,109,XJ ATHLETICS CLUB,South Africa
122,58377,B - Group 1,ZA,Skhumbuzo MPANZA,06:29:14,06:29:01,Senior,68,Male,110,PHANTANE ATHLETIC CLUB,South Africa
123,47640,B - Group 1,ZW,Paul KASU,06:29:31,06:29:25,Senior,69,Male,111,BOKSBURG AC,Zimbabwe
124,26805,B - Group 1,ZA,Renier GROBLER,06:29:44,06:29:28,40-49,38,Male,112,IMPALA MARATHON CLUB NWN,South Africa
125,16524,A - Group 1,ZA,Jenna CHALLENOR,06:30:32,06:30:29,40-49,6,Female,13,NEDBANK RUNNING CLUB GN,South Africa
126,45812,B - Group 1,ZA,Elvis RASEALA,06:30:37,06:30:20,40-49,39,Male,113,SAPG AC,South Africa
127,20844,B - Group 1,GB,Richard MCDOWELL,06:30:59,06:30:48,40-49,40,Male,114,HERCULES WIMBLEDON AC,United Kingdom
128,20865,B - Group 1,ZA,Johannes LEDWABA,06:31:12,06:31:03,40-49,41,Male,115,MAGNOLIA ROAD RUNNERS,South Africa
129,58627,B - Group 1,ZA,Shandukani Jetro NONYANA,06:31:24,06:30:59,Senior,70,Male,116,RUNXTREME AC,South Africa
130,57603,B - Group 1,ZA,Mojalefa DITSHWELE,06:31:37,06:31:21,Senior,71,Male,117,SESHENG AC,South Africa
131,8875,A - Group 1,XX,Alena TATARINOVA,06:31:52,06:31:48,Senior,8,Female,14,MAXED ELITE INTERNATIONAL,ANA
132,48110,A - Group 1,GB,Naomi MITCHELL,06:32:10,06:32:07,Senior,9,Female,15,NEDBANK INTERNATIONAL,United Kingdom
133,58002,A - Group 1,ZA,Degefa Yohannese LAFEBO,06:32:23,06:32:17,Senior,72,Male,118,NEDBANK RUNNING CLUB ETHIOPIA,South Africa
134,48370,A - Group 1,ZA,Charles MOLOTO,06:32:32,06:32:27,50-59,6,Male,119,AECI MINING AC,South Africa
135,14546,B - Group 1,ZA,Major MABASA,06:32:54,06:32:41,Senior,73,Male,120,BEDFORDVIEW ATHLETICS,South Africa
136,55778,C - Group 1,ZA,Raphael NDLOVU,06:33:33,06:32:56,40-49,42,Male,121,NRB HARRIERS,South Africa
137,16480,B - Group 1,ZA,Nkosinathi MTHALANE,06:33:48,06:33:24,40-49,43,Male,122,HOLLYWOOD AC KZNA,South Africa
138,20317,B - Group 1,ZA,Matt DOVE,06:33:51,06:33:38,40-49,44,Male,123,FAKU CHIEFS AC,South Africa
139,20353,A - Group 1,ZA,Bongani DLAMINI,06:33:53,06:33:49,Senior,74,Male,124,ENTSIKA AC,South Africa
140,8252,B - Group 1,ZA,Lyle TIMM,06:34:04,06:33:45,40-49,45,Male,125,WATERFALL AC,South Africa
141,28605,B - Group 1,ZA,Zethembe MDLANGATHI,06:34:11,06:33:57,40-49,46,Male,126,ARTHUR FORD AC,South Africa
142,56310,B - Group 1,ZA,Sarai MUCHINDIMUSI,06:34:23,06:34:12,40-49,47,Male,127,PRETORIA MARATHON CLUB,South Africa
143,36431,A - Group 1,MW,Brino Kumalile CHIDZUNGU,06:34:29,06:34:27,40-49,48,Male,128,SOUTH COAST STRIDERS,Malawi
144,43679,B - Group 1,ZA,Tebang NTSASA,06:34:44,06:34:33,Senior,75,Male,129,WATERFALL AC,South Africa
145,55953,B - Group 1,ZA,Nkosinathi NGCONGO,06:34:54,06:34:38,40-49,49,Male,130,STELLA AC,South Africa
146,35918,A - Group 1,ZA,Given BALOYI,06:35:01,06:34:58,Senior,76,Male,131,CARLTON AC,South Africa
147,21558,B - Group 1,ZA,Siyabonga NGCOBO,06:35:01,06:34:51,Senior,77,Male,132,STELLA AC,South Africa
148,30586,B - Group 1,ZA,David ASHWORTH,06:35:02,06:34:51,40-49,50,Male,133,UBORA ATHLETICS CLUB JOHANNESBURG,South Africa
149,35601,B - Group 1,ZA,Khetha DLUNGWANE,06:35:29,06:35:07,Senior,78,Male,134,ZAKHELE RUNNING CLUB,South Africa
150,22979,A - Group 1,ZA,Vuyolwethu HAGILE,06:35:31,06:35:23,Senior,79,Male,135,PAN AFRICAN RESOURCES CLUB,South Africa
151,54101,B - Group 1,ZA,Mncedisi MTSHALI,06:35:44,06:35:26,40-49,51,Male,136,STELLA AC,South Africa
152,49047,B - Group 1,ZA,Willard JUSSA,06:35:46,06:35:36,40-49,52,Male,137,OUTENIQUA HARRIERS,South Africa
153,30724,B - Group 1,ZA,Mawande HLONGWE,06:36:01,06:35:40,Senior,80,Male,138,HOLLYWOOD AC KZNA,South Africa
154,15340,B - Group 1,ZA,Thamsanqa MBANJWA,06:36:13,06:36:07,40-49,53,Male,139,HOLLYWOOD AC KZNA,South Africa
155,49397,A - Group 1,ZA,Landie GREYLING,06:36:25,06:36:23,40-49,7,Female,16,NEDBANK RUNNING CLUB WP,South Africa
156,46847,B - Group 1,ZA,Michael PLAXTON-HARRISON,06:36:27,06:36:10,Senior,81,Male,140,TEAM VITALITY CLUB CG,South Africa
157,57124,B - Group 1,ZW,Prince CHIPOSIWA,06:36:28,06:36:20,40-49,54,Male,141,SAVAGES ATHLETIC CLUB,Zimbabwe
158,59877,A - Group 1,ZA,Delani MKIZE,06:36:53,06:36:46,40-49,55,Male,142,XCEL RUNNING CLUB,South Africa
159,50472,B - Group 1,ZA,Motsamai RANTHO,06:37:53,06:37:21,40-49,56,Male,143,WATERFALL AC,South Africa
160,42748,B - Group 1,ZA,Bongani MSIMANGO,06:38:26,06:38:21,40-49,57,Male,144,INKAMANA AC,South Africa
161,23325,B - Group 1,ZA,Tolo Richard MOOKETSI,06:38:57,06:38:30,40-49,58,Male,145,KLERKSDORP MARATHON CLUB,South Africa
162,33137,B - Group 1,ZA,Timothy Bonginkosi SHANGASE,06:38:59,06:38:51,40-49,59,Male,146,UGU ATHLETICS CLUB,South Africa
163,43781,B - Group 1,ZA,Aaron MAHLANGU,06:39:03,06:38:48,Senior,82,Male,147,SAVAGES AC,South Africa
164,29064,B - Group 1,ZA,Potso KHOMO,06:39:22,06:39:13,40-49,60,Male,148,SIBANYE STILLWATER AC,South Africa
165,51910,B - Group 1,ZA,Reginald NGOBESE,06:39:23,06:39:15,50-59,7,Male,149,ROCKY ROAD RUNNERS,South Africa
166,28703,B - Group 1,ZA,Sphamandla Petros MKHWANAZI,06:39:25,06:39:07,Senior,83,Male,150,HOLLYWOOD AC KZNA,South Africa
167,8866,A - Group 1,ZA,Aidan BILLINGTON,06:39:27,06:39:22,Senior,84,Male,151,CHILTERN AC,South Africa
168,48881,A - Group 1,XX,Irina SHEVCHENKO,06:39:43,06:39:39,40-49,8,Female,17,MAXED ELITE INTERNATIONAL,ANA
169,57681,B - Group 1,ZA,Sydney Merwin STEVENS,06:39:51,06:39:37,Senior,85,Male,152,KGOSI GALESHEWE ATHLETICS,South Africa
170,45246,B - Group 1,ZW,Davison MADZIVANYIKA,06:40:05,06:39:53,40-49,61,Male,153,RIOT RUNNING CLUB ZIM,Zimbabwe
171,25677,B - Group 1,ZA,Sifiso SHANGE,06:40:11,06:39:56,Senior,86,Male,154,PHANTANE AC,South Africa
172,35020,B - Group 1,ZA,Timothy RATSHILAVHI,06:40:27,06:40:04,50-59,8,Male,155,EXXARO AC GN,South Africa
173,9383,B - Group 1,ZA,Naledi Kevin KUTUMELA,06:41:08,06:41:00,Senior,87,Male,156,HOLLYWOOD AC CGA,South Africa
174,53378,B - Group 1,ZA,Sibonelo GUMEDE,06:41:27,06:41:20,40-49,62,Male,157,MOGALE CITIZENS AC,South Africa
175,58157,B - Group 1,ZA,Khulekani GASA,06:41:38,06:41:32,Senior,88,Male,158,HOLLYWOOD AC KZNA,South Africa
176,31269,B - Group 1,ZA,Herbert MOKGALA,06:42:05,06:41:54,50-59,9,Male,159,HOLLYWOOD AC CGA,South Africa
177,20962,B - Group 1,ZA,Bongumusa ZONDI,06:42:34,06:42:18,Senior,89,Male,160,HILLCREST VILLAGERS AC,South Africa
178,50864,B - Group 1,ZA,Michael LOWOLE,06:42:37,06:42:29,Senior,90,Male,161,RUN ZONE,South Africa
179,51046,B - Group 1,XX,Aleksei LEONOV,06:42:39,06:42:27,Senior,91,Male,162,#LONGRUNMESCHERSKIY,ANA
180,30743,B - Group 1,ZA,Letshepa PHOHLO,06:42:51,06:42:37,Senior,92,Male,163,HOLLYWOOD AC KZNA,South Africa
181,13365,B - Group 1,BR,Diego GUERINI,06:42:52,06:42:44,Senior,93,Male,164,,Brazil
182,36979,B - Group 1,ZA,Buhle MHLANGA,06:42:55,06:42:49,40-49,63,Male,165,WATERFALL AC,South Africa
183,40406,B - Group 1,ZA,Mondise MNCUBE,06:43:08,06:43:01,Senior,94,Male,166,HOLLYWOOD AC CGA,South Africa
184,55916,B - Group 1,ZA,Thambulo Selby PHALAMNDWA,06:43:12,06:42:56,40-49,64,Male,167,HOLLYWOOD AC ANWN,South Africa
185,36159,B - Group 1,ZA,Bhekithemba NQOKO,06:43:19,06:43:04,50-59,10,Male,168,HOLLYWOOD AC KZNA,South Africa
186,45917,B - Group 1,ZA,Thabani VEZI,06:43:50,06:43:33,Senior,95,Male,169,HOLLYWOOD AC KZNA,South Africa
187,36389,A - Group 1,ZA,Nkosingiphile NTULI,06:44:05,06:43:59,40-49,65,Male,170,BLACK DIAMOND ATHLETIC CLUB,South Africa
188,54507,A - Group 1,ZA,Thulani SIDZIYA,06:44:26,06:44:21,40-49,66,Male,171,ZWELONKE ATHLETICS CLUB,South Africa
189,49673,A - Group 1,XX,Oleg KHARITONOV,06:44:33,06:44:29,50-59,11,Male,172,KHARITONOV TEAM,ANA
190,36315,B - Group 1,XX,Sergei ALEKSEEV,06:44:33,06:44:21,Senior,96,Male,173,ZANOZA RUNNING TEAM,ANA
191,20038,B - Group 1,ZA,Ntshengedzeni MASUPA,06:44:56,06:44:43,50-59,12,Male,174,MIDRAND STRIDERS,South Africa
192,10685,B - Group 1,ZA,Simphiwe VELLEM,06:45:02,06:44:42,40-49,67,Male,175,RCS GUGULETU AC,South Africa
193,52440,B - Group 1,ZA,Vincent MSOMI,06:45:05,06:44:58,40-49,68,Male,176,HARTBEESPOORT MARATHON CLUB CNW,South Africa
194,32633,B - Group 1,ZA,Yanga MLAMBO,06:45:09,06:44:47,Senior,97,Male,177,WILD RUNNER WP,South Africa
195,26898,A - Group 1,ZM,Elizabeth MUKOLOMA,06:45:17,06:45:14,Senior,10,Female,18,KANSANSHI ATHLETICS CLUB,Zambia
196,56392,A - Group 1,ZA,Patience Puleng KHUMALO,06:45:45,06:45:42,Senior,11,Female,19,LEGENDS ROAD RUNNERS AC,South Africa
